"last_name, first_name","player_id","year","player_age","p_formatted_ip","pa","ab","hit","strikeout","walk","k_percent","bb_percent","batting_avg","babip","p_pickoff_attempt_1b","p_pickoff_1b","p_gnd_into_dp","p_hit_by_pitch","xba","xbadiff"
"Freeland, Kyle","607536","2023","30","155.2","677","624","187","94","42",13.9,6.2,".300",".312","31","1","21","1",".294",".006"
"Lugo, Seth","607625","2023","33","146.1","604","563","140","140","36",23.2,6,".249",".298","27","0","13","3",".260","-0.011"
"Giolito, Lucas","608337","2023","28","184.1","794","705","169","204","73",25.7,9.2,".240",".275","17","1","11","9",".239",".001"
"Wacha, Michael","608379","2023","31","134.1","553","505","113","124","43",22.4,7.8,".224",".266","26","0","8","3",".250","-0.026"
"Quantrill, Cal","615698","2023","28","99.2","444","398","111","58","35",13.1,7.9,".279",".300","12","0","12","7",".291","-0.012"
"Eflin, Zach","621107","2023","29","177.2","703","671","158","186","24",26.5,3.4,".235",".296","7","0","13","3",".222",".013"
"Blackburn, Paul","621112","2023","29","103.2","464","409","117","104","43",22.4,9.3,".286",".351","25","1","8","3",".261",".025"
"Berríos, José","621244","2023","29","189.2","782","717","173","184","52",23.5,6.6,".241",".290","50","1","14","9",".261","-0.020"
"Wood, Alex","622072","2023","32","97.2","429","373","98","74","42",17.2,9.8,".263",".303","1","0","11","8",".257",".006"
"Castillo, Luis","622491","2023","30","197.0","802","735","160","219","56",27.3,7,".218",".268","20","1","10","5",".230","-0.012"
"Severino, Luis","622663","2023","29","89.1","417","375","113","79","34",18.9,8.2,".301",".328","30","3","3","5",".286",".015"
"Flexen, Chris","623167","2023","28","102.1","466","420","133","74","38",15.9,8.2,".317",".333","42","0","14","4",".297",".020"
